video_number,inferred_date,inferred_title,video_id,source_vtt_path,cleaned_md_path,word_count,line_count,file_size_bytes,has_transcript,notes
98,2017-09-08,Orderflows Analysis Part 2 Sept 7 2017 Emini SP ZB ZF CL NQ Futures Day Trading Delta Scalper,60BBeMT5kVI,C:\YTTranscripts\Orderflows_Dedup_v2\20170908 - Orderflows Analysis Part 2 Sept 7 2017 Emini SP ZB ZF CL NQ Futures Day Trading Delta Scalper [60BBeMT5kVI].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0098_20170908_Orderflows_Analysis_Part_2_Sept_7_2017_Emini_SP_ZB_ZF_CL_NQ__60BBeMT5kVI.md,6578,883,318233,TRUE,
99,2017-09-11,Orderflows Market Analysis Friday Sept 8 2017 Emini SP Minidow Crude Oil Nasdaq Currency Day Trading,mfzMIud3hik,C:\YTTranscripts\Orderflows_Dedup_v2\20170911 - Orderflows Market Analysis Friday Sept 8 2017 Emini SP Minidow Crude Oil Nasdaq Currency Day Trading [mfzMIud3hik].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0099_20170911_Orderflows_Market_Analysis_Friday_Sept_8_2017_Emini_SP_Minid_mfzMIud3hik.md,5663,753,272554,TRUE,
100,2017-09-12,Orderflows Market Analysis Sept 11 Crude Oil Futures Eurocurrency Day Trading Delta Scalper Surge,v6hhXRvcR5w,C:\YTTranscripts\Orderflows_Dedup_v2\20170912 - Orderflows Market Analysis Sept 11 Crude Oil Futures Eurocurrency Day Trading Delta Scalper Surge [v6hhXRvcR5w].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0100_20170912_Orderflows_Market_Analysis_Sept_11_Crude_Oil_Futures_Eurocur_v6hhXRvcR5w.md,4894,653,236175,TRUE,
101,2017-09-14,Orderflows And Investor Inspiration Pro Traders Workshop Coming Tuesday Sept 19 2017 Day Trading Fut,brTw3qI2K5Y,C:\YTTranscripts\Orderflows_Dedup_v2\20170914 - Orderflows And Investor Inspiration Pro Traders Workshop Coming Tuesday Sept 19 2017 Day Trading Fut [brTw3qI2K5Y].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0101_20170914_Orderflows_And_Investor_Inspiration_Pro_Traders_Workshop_Com_brTw3qI2K5Y.md,848,121,42331,TRUE,
102,2017-09-14,Orderflows Trader Volume Footprint Chart And NinjaTrader 8 NT8,7ckcRgZ6po8,C:\YTTranscripts\Orderflows_Dedup_v2\20170914 - Orderflows Trader Volume Footprint Chart And NinjaTrader 8 NT8 [7ckcRgZ6po8].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0102_20170914_Orderflows_Trader_Volume_Footprint_Chart_And_NinjaTrader_8_N_7ckcRgZ6po8.md,2994,398,143980,TRUE,
103,2017-09-15,Orderflows Market Analysis September 14 2017 Japanese Yen North Korea Effect Emini SP Delta Scalper,Dcef4jN_KHQ,C:\YTTranscripts\Orderflows_Dedup_v2\20170915 - Orderflows Market Analysis September 14 2017 Japanese Yen North Korea Effect Emini SP Delta Scalper [Dcef4jN_KHQ].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0103_20170915_Orderflows_Market_Analysis_September_14_2017_Japanese_Yen_No_Dcef4jN_KHQ.md,4174,555,201331,TRUE,
104,2017-09-16,Orderflows Market Analysis September 15 2017 Emini SP Mini Dow YM Soybean ZS Futures Day Trading,IrX8dOV0RaE,C:\YTTranscripts\Orderflows_Dedup_v2\20170916 - Orderflows Market Analysis September 15 2017 Emini SP Mini Dow YM Soybean ZS Futures Day Trading [IrX8dOV0RaE].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0104_20170916_Orderflows_Market_Analysis_September_15_2017_Emini_SP_Mini_D_IrX8dOV0RaE.md,5332,725,260341,TRUE,
105,2017-09-17,Investor Inspiration Orderflows Webinar Preview Trader Training,KCIM_ptI3fs,C:\YTTranscripts\Orderflows_Dedup_v2\20170917 - Investor Inspiration Orderflows Webinar Preview Trader Training [KCIM_ptI3fs].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0105_20170917_Investor_Inspiration_Orderflows_Webinar_Preview_Trader_Train_KCIM_ptI3fs.md,556,82,28379,TRUE,
106,2017-09-19,Orderflows Market Analysis September 18 2017 Emini SP Soybeans Day Trading Futures Delta Scalper,MEiYX22OcaE,C:\YTTranscripts\Orderflows_Dedup_v2\20170919 - Orderflows Market Analysis September 18 2017 Emini SP Soybeans Day Trading Futures Delta Scalper [MEiYX22OcaE].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0106_20170919_Orderflows_Market_Analysis_September_18_2017_Emini_SP_Soybea_MEiYX22OcaE.md,4945,657,238241,TRUE,
107,2017-09-22,Orderflows Market Analysis September 21 2017 Huge Volume In The Market Eurocurrency British Pound Bo,quipUQ8kHuw,C:\YTTranscripts\Orderflows_Dedup_v2\20170922 - Orderflows Market Analysis September 21 2017 Huge Volume In The Market Eurocurrency British Pound Bo [quipUQ8kHuw].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0107_20170922_Orderflows_Market_Analysis_September_21_2017_Huge_Volume_In__quipUQ8kHuw.md,2280,305,110175,TRUE,
108,2017-09-27,Orderflows Market Analysis September 22 2017 Emini SP Bonds Crude Oil Soybean Futures Day Trading,snYsw7ZohHg,C:\YTTranscripts\Orderflows_Dedup_v2\20170927 - Orderflows Market Analysis September 22 2017 Emini SP Bonds Crude Oil Soybean Futures Day Trading [snYsw7ZohHg].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0108_20170927_Orderflows_Market_Analysis_September_22_2017_Emini_SP_Bonds__snYsw7ZohHg.md,4900,657,236939,TRUE,
109,2017-09-27,Orderflows Market Analysis September 25 ZB ZF Eurocurrency Crude Oil Day Trading Futures Delta Scalp,2g3AjB4tD1o,C:\YTTranscripts\Orderflows_Dedup_v2\20170927 - Orderflows Market Analysis September 25 ZB ZF Eurocurrency Crude Oil Day Trading Futures Delta Scalp [2g3AjB4tD1o].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0109_20170927_Orderflows_Market_Analysis_September_25_ZB_ZF_Eurocurrency_C_2g3AjB4tD1o.md,3235,431,155997,TRUE,
110,2017-09-30,Orderflows Market Analysis September 26 and 27 2017 Emini Sp ZF ZB Eurocurrency Futures Delta Scalpe,ZksbQz4wDCI,C:\YTTranscripts\Orderflows_Dedup_v2\20170930 - Orderflows Market Analysis September 26 and 27 2017 Emini Sp ZF ZB Eurocurrency Futures Delta Scalpe [ZksbQz4wDCI].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0110_20170930_Orderflows_Market_Analysis_September_26_and_27_2017_Emini_Sp_ZksbQz4wDCI.md,3303,443,159549,TRUE,
111,2017-09-30,Orderflows Market Analysis September 28 2017 Crude Oil Eurocurrency Futures Day Trading Delta,A1fNjAFQkTU,C:\YTTranscripts\Orderflows_Dedup_v2\20170930 - Orderflows Market Analysis September 28 2017 Crude Oil Eurocurrency Futures Day Trading Delta [A1fNjAFQkTU].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0111_20170930_Orderflows_Market_Analysis_September_28_2017_Crude_Oil_Euroc_A1fNjAFQkTU.md,5067,669,243445,TRUE,
112,2017-09-30,Orderflows Market Analysis September 29 2017 USDA Report Soybeans Corn Wheat Crude Oil Eurocurrency,UbUTAe-k1IE,C:\YTTranscripts\Orderflows_Dedup_v2\20170930 - Orderflows Market Analysis September 29 2017 USDA Report Soybeans Corn Wheat Crude Oil Eurocurrency [UbUTAe-k1IE].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0112_20170930_Orderflows_Market_Analysis_September_29_2017_USDA_Report_Soy_UbUTAe-k1IE.md,4964,665,240181,TRUE,
113,2017-10-03,Orderflows Market Analysis October 2 2017 Emini Bonds Five Year Notes Eurocurency Crude Oil Futures,434qIiArC5Y,C:\YTTranscripts\Orderflows_Dedup_v2\20171003 - Orderflows Market Analysis October 2 2017 Emini Bonds Five Year Notes Eurocurency Crude Oil Futures [434qIiArC5Y].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0113_20171003_Orderflows_Market_Analysis_October_2_2017_Emini_Bonds_Five_Y_434qIiArC5Y.md,4107,547,197990,TRUE,
114,2017-10-03,User Submitted Questions About Order Flow Delta Scalper Orderflows Trader Software,DbyyA6Sd2-0,C:\YTTranscripts\Orderflows_Dedup_v2\20171003 - User Submitted Questions About Order Flow Delta Scalper Orderflows Trader Software [DbyyA6Sd2-0].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0114_20171003_User_Submitted_Questions_About_Order_Flow_Delta_Scalper_Orde_DbyyA6Sd2-0.md,6967,918,334695,TRUE,
115,2017-10-05,Orderflows Market Analysis Oct 4 2017 Emini New High ZB Ratio Divergence Crude Oil Delta Scalper,mx8fx4iQUE4,C:\YTTranscripts\Orderflows_Dedup_v2\20171005 - Orderflows Market Analysis Oct 4 2017 Emini New High ZB Ratio Divergence Crude Oil Delta Scalper [mx8fx4iQUE4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0115_20171005_Orderflows_Market_Analysis_Oct_4_2017_Emini_New_High_ZB_Rati_mx8fx4iQUE4.md,2760,364,132382,TRUE,
116,2017-10-05,Orderflows Market Analysis October 3 2017 Emini SP New Highs Crude Oil Support Bond Futures Trading,z-g1tqcwyT8,C:\YTTranscripts\Orderflows_Dedup_v2\20171005 - Orderflows Market Analysis October 3 2017 Emini SP New Highs Crude Oil Support Bond Futures Trading [z-g1tqcwyT8].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0116_20171005_Orderflows_Market_Analysis_October_3_2017_Emini_SP_New_Highs_z-g1tqcwyT8.md,4297,568,206422,TRUE,
117,2017-10-16,Orderflows Investor Inspiration Pro Trader Workshop October 19 Webinar,n-Tuc9qzAhM,C:\YTTranscripts\Orderflows_Dedup_v2\20171016 - Orderflows Investor Inspiration Pro Trader Workshop October 19 Webinar [n-Tuc9qzAhM].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0117_20171016_Orderflows_Investor_Inspiration_Pro_Trader_Workshop_October__n-Tuc9qzAhM.md,931,133,46490,TRUE,
118,2017-10-17,Orderflows Market Analysis October 17 2017 Early European Session Eurocurrency British Pound Aussie,zHFHjXArt_A,C:\YTTranscripts\Orderflows_Dedup_v2\20171017 - Orderflows Market Analysis October 17 2017 Early European Session Eurocurrency British Pound Aussie [zHFHjXArt_A].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0118_20171017_Orderflows_Market_Analysis_October_17_2017_Early_European_Se_zHFHjXArt_A.md,3162,421,152718,TRUE,
119,2017-10-18,Ex JP Morgan Futures Trader Explains Order Flow Trading Webinar,Inp0tyYeHJc,C:\YTTranscripts\Orderflows_Dedup_v2\20171018 - Ex JP Morgan Futures Trader Explains Order Flow Trading Webinar [Inp0tyYeHJc].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0119_20171018_Ex_JP_Morgan_Futures_Trader_Explains_Order_Flow_Trading_Webi_Inp0tyYeHJc.md,1734,234,84343,TRUE,
120,2017-10-18,Orderflows Market Analysis October 17 2017 Part 2 ZB ZF Crude Oil FGBL Futures Trading,K246kyeixBk,C:\YTTranscripts\Orderflows_Dedup_v2\20171018 - Orderflows Market Analysis October 17 2017 Part 2 ZB ZF Crude Oil FGBL Futures Trading [K246kyeixBk].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0120_20171018_Orderflows_Market_Analysis_October_17_2017_Part_2_ZB_ZF_Crud_K246kyeixBk.md,2398,321,115729,TRUE,
121,2017-11-07,How Institutions Use Algos To Camouflage Their Trading Orderflow Webinar,ZSJbB2QDHwQ,C:\YTTranscripts\Orderflows_Dedup_v2\20171107 - How Institutions Use Algos To Camouflage Their Trading Orderflow Webinar [ZSJbB2QDHwQ].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0121_20171107_How_Institutions_Use_Algos_To_Camouflage_Their_Trading_Order_ZSJbB2QDHwQ.md,1962,270,96326,TRUE,
122,2017-11-07,Valtos SR Levels Order Flow Derived Support And Resistance Levels November 6 2017,nYUO84Zau6Y,C:\YTTranscripts\Orderflows_Dedup_v2\20171107 - Valtos SR Levels Order Flow Derived Support And Resistance Levels November 6 2017 [nYUO84Zau6Y].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0122_20171107_Valtos_SR_Levels_Order_Flow_Derived_Support_And_Resistance_L_nYUO84Zau6Y.md,7261,951,347812,TRUE,
123,2017-11-08,Valtos SR Levels Nov 7 2017 Using Order Flow To Find Support And Resistance Levels Futures Markets,OAoOQCLsmJ4,C:\YTTranscripts\Orderflows_Dedup_v2\20171108 - Valtos SR Levels Nov 7 2017 Using Order Flow To Find Support And Resistance Levels Futures Markets [OAoOQCLsmJ4].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0123_20171108_Valtos_SR_Levels_Nov_7_2017_Using_Order_Flow_To_Find_Support_OAoOQCLsmJ4.md,6993,913,334304,TRUE,
124,2017-11-19,Valtos SR Levels Order Flow Generated Support And Resistance Levels Nov 17 2017 ES 6E NQ CL Futures,l9iQEiQb0nE,C:\YTTranscripts\Orderflows_Dedup_v2\20171119 - Valtos SR Levels Order Flow Generated Support And Resistance Levels Nov 17 2017 ES 6E NQ CL Futures [l9iQEiQb0nE].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0124_20171119_Valtos_SR_Levels_Order_Flow_Generated_Support_And_Resistance_l9iQEiQb0nE.md,2719,363,131258,TRUE,
125,2018-01-13,Orderflows Market Analysis January 12 2018 Order Flow Trading Valtos SR Levels Emini SP Bund Futures,jLhb24AtdLs,C:\YTTranscripts\Orderflows_Dedup_v2\20180113 - Orderflows Market Analysis January 12 2018 Order Flow Trading Valtos SR Levels Emini SP Bund Futures [jLhb24AtdLs].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0125_20180113_Orderflows_Market_Analysis_January_12_2018_Order_Flow_Tradin_jLhb24AtdLs.md,7140,955,345069,TRUE,
126,2018-01-18,Orderflows Market Analysis Stacked Imbalance January 17 2018 Emini SP Bunds Bonds Order Flow NinjaTr,uaWejO1vCek,C:\YTTranscripts\Orderflows_Dedup_v2\20180118 - Orderflows Market Analysis Stacked Imbalance January 17 2018 Emini SP Bunds Bonds Order Flow NinjaTr [uaWejO1vCek].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0126_20180118_Orderflows_Market_Analysis_Stacked_Imbalance_January_17_2018_uaWejO1vCek.md,5046,665,241766,TRUE,
127,2018-01-21,Orderflows Trader Webinar With NinjaTrader Learn Order Flow Analysis From A Former JP Morgan Trader,BO48xt1OmU8,C:\YTTranscripts\Orderflows_Dedup_v2\20180121 - Orderflows Trader Webinar With NinjaTrader Learn Order Flow Analysis From A Former JP Morgan Trader [BO48xt1OmU8].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0127_20180121_Orderflows_Trader_Webinar_With_NinjaTrader_Learn_Order_Flow__BO48xt1OmU8.md,1974,268,96334,TRUE,
128,2018-01-26,NinjaTrader Webinar Ex JP Morgan Trader Explains How To Get The Edge Over Other Traders With Order F,KXxxXLN5U-w,C:\YTTranscripts\Orderflows_Dedup_v2\20180126 - NinjaTrader Webinar Ex JP Morgan Trader Explains How To Get The Edge Over Other Traders With Order F [KXxxXLN5U-w].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0128_20180126_NinjaTrader_Webinar_Ex_JP_Morgan_Trader_Explains_How_To_Get__KXxxXLN5U-w.md,11396,1547,555788,TRUE,
129,2018-02-07,My Favorite Order Flow Trading Method Webinar Preview Investor Inspiration,GSJLMU2G6vE,C:\YTTranscripts\Orderflows_Dedup_v2\20180207 - My Favorite Order Flow Trading Method Webinar Preview Investor Inspiration [GSJLMU2G6vE].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0129_20180207_My_Favorite_Order_Flow_Trading_Method_Webinar_Preview_Invest_GSJLMU2G6vE.md,936,128,45722,TRUE,
130,2018-02-15,Inside The Traders Mindset Webinar Preview Investor Inspiration Trading Summit,y3qF6GWjf84,C:\YTTranscripts\Orderflows_Dedup_v2\20180215 - Inside The Traders Mindset Webinar Preview Investor Inspiration Trading Summit [y3qF6GWjf84].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0130_20180215_Inside_The_Traders_Mindset_Webinar_Preview_Investor_Inspirat_y3qF6GWjf84.md,2575,349,125407,TRUE,
131,2018-03-13,Orderflows Market Analysis March 12 12 FGBL Volume Profile Value Area High Breakout,Hvji8msWlPI,C:\YTTranscripts\Orderflows_Dedup_v2\20180313 - Orderflows Market Analysis March 12 12 FGBL Volume Profile Value Area High Breakout [Hvji8msWlPI].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0131_20180313_Orderflows_Market_Analysis_March_12_12_FGBL_Volume_Profile_V_Hvji8msWlPI.md,2110,290,103516,TRUE,
132,2018-04-22,Orderflows Market Analysis April 22 2018 Crude Oil Futures ZB Futures Day Trading,r6vRVEuLzxY,C:\YTTranscripts\Orderflows_Dedup_v2\20180422 - Orderflows Market Analysis April 22 2018 Crude Oil Futures ZB Futures Day Trading [r6vRVEuLzxY].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0132_20180422_Orderflows_Market_Analysis_April_22_2018_Crude_Oil_Futures_Z_r6vRVEuLzxY.md,7458,993,359986,TRUE,
133,2018-04-23,Trading Overnight Markets With Order Flow Eurocurrency Crude Oil Emini SP Bund Futures,FPOl5rcwPKM,C:\YTTranscripts\Orderflows_Dedup_v2\20180423 - Trading Overnight Markets With Order Flow Eurocurrency Crude Oil Emini SP Bund Futures [FPOl5rcwPKM].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0133_20180423_Trading_Overnight_Markets_With_Order_Flow_Eurocurrency_Crude_FPOl5rcwPKM.md,5618,757,272789,TRUE,
134,2018-04-24,Using Order Flow To Find Potential Market Reversal ESM8 Futures Day Trading,Bys0gQb1e0g,C:\YTTranscripts\Orderflows_Dedup_v2\20180424 - Using Order Flow To Find Potential Market Reversal ESM8 Futures Day Trading [Bys0gQb1e0g].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0134_20180424_Using_Order_Flow_To_Find_Potential_Market_Reversal_ESM8_Futu_Bys0gQb1e0g.md,2334,321,114304,TRUE,
135,2018-05-02,Orderflows Market Analysis and Trades May 2nd Mini Dow Futures,2LSrXNXYQ84,C:\YTTranscripts\Orderflows_Dedup_v2\20180502 - Orderflows Market Analysis and Trades May 2nd Mini Dow Futures [2LSrXNXYQ84].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0135_20180502_Orderflows_Market_Analysis_and_Trades_May_2nd_Mini_Dow_Futur_2LSrXNXYQ84.md,1208,149,55875,TRUE,
136,2018-05-03,Orderflows Market Analysis Afternoon On Tuesday May 2nd MiniDow Futures YM Order Flow Real Trades,9h5bG-XyqXU,C:\YTTranscripts\Orderflows_Dedup_v2\20180503 - Orderflows Market Analysis Afternoon On Tuesday May 2nd MiniDow Futures YM Order Flow Real Trades [9h5bG-XyqXU].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0136_20180503_Orderflows_Market_Analysis_Afternoon_On_Tuesday_May_2nd_Mini_9h5bG-XyqXU.md,2223,277,103764,TRUE,
137,2018-05-20,Orderflows 2 0 Market Analysis Crude Oil and Eurocurrency Futures,PJFPbVUUYDo,C:\YTTranscripts\Orderflows_Dedup_v2\20180520 - Orderflows 2 0 Market Analysis Crude Oil and Eurocurrency Futures [PJFPbVUUYDo].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0137_20180520_Orderflows_2_0_Market_Analysis_Crude_Oil_and_Eurocurrency_Fu_PJFPbVUUYDo.md,8332,1148,410115,TRUE,
138,2018-06-04,Orderflows Trader Upcoming Webinar June 7 2018 Investor Inspiration,LNrIzkq93nI,C:\YTTranscripts\Orderflows_Dedup_v2\20180604 - Orderflows Trader Upcoming Webinar June 7 2018 Investor Inspiration [LNrIzkq93nI].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0138_20180604_Orderflows_Trader_Upcoming_Webinar_June_7_2018_Investor_Insp_LNrIzkq93nI.md,264,36,12885,TRUE,
139,2018-06-10,Orderflows 2 0 Trading In Sync With The Market Webinar June 7 2018 Investor Inspiration,hxKV0ipfKmI,C:\YTTranscripts\Orderflows_Dedup_v2\20180610 - Orderflows 2 0 Trading In Sync With The Market Webinar June 7 2018 Investor Inspiration [hxKV0ipfKmI].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0139_20180610_Orderflows_2_0_Trading_In_Sync_With_The_Market_Webinar_June__hxKV0ipfKmI.md,11029,1510,540129,TRUE,
140,2018-07-05,Orderflows Delta Scalper Settings July 5th,FIcLccxOyCE,C:\YTTranscripts\Orderflows_Dedup_v2\20180705 - Orderflows Delta Scalper Settings July 5th [FIcLccxOyCE].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0140_20180705_Orderflows_Delta_Scalper_Settings_July_5th_FIcLccxOyCE.md,6235,815,297219,TRUE,
141,2018-07-08,Delta Scalper Using Order Flow Delta Analysis In Your Trading,LOvfNieOF24,C:\YTTranscripts\Orderflows_Dedup_v2\20180708 - Delta Scalper Using Order Flow Delta Analysis In Your Trading [LOvfNieOF24].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0141_20180708_Delta_Scalper_Using_Order_Flow_Delta_Analysis_In_Your_Tradin_LOvfNieOF24.md,4829,639,231883,TRUE,
142,2018-07-08,Free Order Flow Webinar Identify Market Turning Points As They Happen,HATliK08x4U,C:\YTTranscripts\Orderflows_Dedup_v2\20180708 - Free Order Flow Webinar Identify Market Turning Points As They Happen [HATliK08x4U].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0142_20180708_Free_Order_Flow_Webinar_Identify_Market_Turning_Points_As_Th_HATliK08x4U.md,584,79,28313,TRUE,
143,2018-07-09,Orderflows Prominent POC & Divergence Tools Available Only In Orderflows Trader 2 0,iUzo_KSRS3w,C:\YTTranscripts\Orderflows_Dedup_v2\20180709 - Orderflows Prominent POC & Divergence Tools Available Only In Orderflows Trader 2 0 [iUzo_KSRS3w].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0143_20180709_Orderflows_Prominent_POC_Divergence_Tools_Available_Only_In__iUzo_KSRS3w.md,3876,529,189315,TRUE,
144,2018-07-11,Orderflows 2 0 Indentify Market Turning Points As They Happen Investor Inspiration Webinar,d81dAgeXqjQ,C:\YTTranscripts\Orderflows_Dedup_v2\20180711 - Orderflows 2 0 Indentify Market Turning Points As They Happen Investor Inspiration Webinar [d81dAgeXqjQ].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0144_20180711_Orderflows_2_0_Indentify_Market_Turning_Points_As_They_Happe_d81dAgeXqjQ.md,11136,1516,544416,TRUE,
145,2018-07-20,Orderflows Analysis Understanding Stacked Imbalances In Order Flow,VRexz_F1LTU,C:\YTTranscripts\Orderflows_Dedup_v2\20180720 - Orderflows Analysis Understanding Stacked Imbalances In Order Flow [VRexz_F1LTU].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0145_20180720_Orderflows_Analysis_Understanding_Stacked_Imbalances_In_Orde_VRexz_F1LTU.md,2241,306,109555,TRUE,
146,2018-07-25,Orderflows Trader 2 0 For NT7 Prominent POCs Trapped Trader Market Sweeps,tJSzbSMm_Ro,C:\YTTranscripts\Orderflows_Dedup_v2\20180725 - Orderflows Trader 2 0 For NT7 Prominent POCs Trapped Trader Market Sweeps [tJSzbSMm_Ro].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0146_20180725_Orderflows_Trader_2_0_For_NT7_Prominent_POCs_Trapped_Trader__tJSzbSMm_Ro.md,1633,257,83402,TRUE,
147,2018-07-30,Orderflows Trader 2 0 Is A Tool To Help You Make Better Trading Decisions,TnmC8_2QNCo,C:\YTTranscripts\Orderflows_Dedup_v2\20180730 - Orderflows Trader 2 0 Is A Tool To Help You Make Better Trading Decisions [TnmC8_2QNCo].en.vtt,C:\Users\chenk\Desktop\LloydTrading\Reversals\Research\Orderflows_APlus_Reversal_KB_v1\clean_transcripts\0147_20180730_Orderflows_Trader_2_0_Is_A_Tool_To_Help_You_Make_Better_Trad_TnmC8_2QNCo.md,3782,571,189696,TRUE,
